uuid	hubmap_id	status	is_protected	data_type	group_name	has_uuids	number_of_uuids
6a037ddcb811f77f726b9f78e5d369a2	HBM969.JXDC.887	Published	False	AF	Vanderbilt TMC	True	9
5eb7d04d71566c53dfc9eb1c7346c68d	HBM882.DMQM.597	Published	False	AF	Vanderbilt TMC	True	9
f54b458ca42f7112d0e0751c9ba41492	HBM298.JRGF.528	Published	False	AF	Vanderbilt TMC	True	9
02e13b9b3cdc939cca397c42c2981dd1	HBM362.DLZS.564	Published	False	AF	Vanderbilt TMC	True	10
109162ed40ede274202eab96bf640fa4	HBM739.JSGQ.673	Published	False	AF	Vanderbilt TMC	True	7
46ed471a6b4ad5b97817ff2c26ef6ddd	HBM873.FRQB.759	Published	False	AF	Vanderbilt TMC	True	7
57299edf509b218aa9b4c4a2e1d979bd	HBM535.QCJS.935	Published	False	AF	Vanderbilt TMC	True	9
2d6c51fbd0916109550a708d485903b7	HBM659.BRHQ.223	Published	False	AF	Vanderbilt TMC	True	7
9a519955a24cc30b7184177a5a89cecb	HBM947.CJRK.822	Published	False	AF	Vanderbilt TMC	True	10
0a6f5c1afbcc31622eb34daf88c2c016	HBM529.NGCG.277	Published	False	AF	Vanderbilt TMC	True	7
b529b1c59c2b8aa232105d3f8fe31c35	HBM887.KLQQ.878	Published	False	AF	Vanderbilt TMC	True	9
3f42c9ebe348f7aca2419ce95f40ab79	HBM475.ZQFV.863	Published	False	AF	Vanderbilt TMC	True	9
9ed95f2cf5c1b1a6af6250085d1aaf4a	HBM653.VSMF.765	Published	False	AF	Vanderbilt TMC	True	7
d3e05111d84be552b98f5fe2b18e3054	HBM953.NRFF.685	Published	False	AF	Vanderbilt TMC	True	9
2f9e91ff774243ef11d148a2bf7a6822	HBM268.FSPK.489	Published	False	AF	Vanderbilt TMC	True	7
2bc6713576dda7c7e6378aec38df437d	HBM447.NXPZ.263	Published	False	AF	Vanderbilt TMC	True	9
dc289471333309925e46ceb9bafafaf4	HBM279.SSXF.866	Published	False	AF	Vanderbilt TMC	True	9
54ef9a03bc7abbedc60a261bf49e1119	HBM455.XGQZ.542	Published	False	AF	Vanderbilt TMC	True	7
1dd9a68210ef57c390f90b06851877a4	HBM539.LXFQ.933	Published	False	AF	Vanderbilt TMC	True	6
dbf8d98f22c3579d1dd3dfb9931cf714	HBM835.KPRS.372	Published	False	AF	Vanderbilt TMC	True	9
9ba91ddddfb2be8f06fd11230da0bbb3	HBM653.KWZV.652	Published	False	AF	Vanderbilt TMC	True	7
8b347e7307c4e76f0ce20700ac77d38d	HBM746.LMBD.255	Published	False	AF	Vanderbilt TMC	True	6
4c04a73e87f0b5deb00d88d4cb20095d	HBM284.PMDZ.547	Published	False	AF	Vanderbilt TMC	True	9
bf6ec5a47c32f43b6d01ea58fa4723ca	HBM788.QPJT.262	Published	False	AF	Vanderbilt TMC	True	11
ac616d7b9149d279b29a5df3472486ac	HBM457.RCGR.399	Published	False	AF	Vanderbilt TMC	True	7
584620d30b86098ece9b96edb407c786	HBM666.RKRD.836	Published	False	AF	Vanderbilt TMC	True	8
7ede2efa49ae0dc50c9cb8afb276ebe4	HBM287.DWFS.254	Published	False	AF	Vanderbilt TMC	True	9
8122e6bbb32d0561eade1136d320a561	HBM426.XXCX.729	Published	False	AF	Vanderbilt TMC	True	6
a11fe9d14122d4254acfefc9bf9faae4	HBM592.JQRJ.946	Published	False	AF	Vanderbilt TMC	True	7
38ba22b0a2bdace0d0dd7504cbe15aae	HBM632.MXJF.562	Published	False	AF	Vanderbilt TMC	True	9
1accbd367bac01690a733c77460371a7	HBM372.RSXT.622	Published	False	AF	Vanderbilt TMC	True	9
7aa0816fc26641fb86fe9a2e89a22625	HBM644.MDVT.295	Published	False	AF	Vanderbilt TMC	True	9
379ec1e6f7f0633a62997136db2854a7	HBM974.JDVS.328	Published	False	AF	Vanderbilt TMC	True	9
