uuid	hubmap_id	status	is_protected	data_type	group_name	number_of_uuids
02e13b9b3cdc939cca397c42c2981dd1	HBM362.DLZS.564	Published	False	AF	Vanderbilt TMC	
46ed471a6b4ad5b97817ff2c26ef6ddd	HBM873.FRQB.759	Published	False	AF	Vanderbilt TMC	
57299edf509b218aa9b4c4a2e1d979bd	HBM535.QCJS.935	Published	False	AF	Vanderbilt TMC	
109162ed40ede274202eab96bf640fa4	HBM739.JSGQ.673	Published	False	AF	Vanderbilt TMC	
6a037ddcb811f77f726b9f78e5d369a2	HBM969.JXDC.887	Published	False	AF	Vanderbilt TMC	
5eb7d04d71566c53dfc9eb1c7346c68d	HBM882.DMQM.597	Published	False	AF	Vanderbilt TMC	
f54b458ca42f7112d0e0751c9ba41492	HBM298.JRGF.528	Published	False	AF	Vanderbilt TMC	
0a6f5c1afbcc31622eb34daf88c2c016	HBM529.NGCG.277	Published	False	AF	Vanderbilt TMC	
2d6c51fbd0916109550a708d485903b7	HBM659.BRHQ.223	Published	False	AF	Vanderbilt TMC	
9a519955a24cc30b7184177a5a89cecb	HBM947.CJRK.822	Published	False	AF	Vanderbilt TMC	
b529b1c59c2b8aa232105d3f8fe31c35	HBM887.KLQQ.878	Published	False	AF	Vanderbilt TMC	
d3e05111d84be552b98f5fe2b18e3054	HBM953.NRFF.685	Published	False	AF	Vanderbilt TMC	
3f42c9ebe348f7aca2419ce95f40ab79	HBM475.ZQFV.863	Published	False	AF	Vanderbilt TMC	
9ed95f2cf5c1b1a6af6250085d1aaf4a	HBM653.VSMF.765	Published	False	AF	Vanderbilt TMC	
2f9e91ff774243ef11d148a2bf7a6822	HBM268.FSPK.489	Published	False	AF	Vanderbilt TMC	
2bc6713576dda7c7e6378aec38df437d	HBM447.NXPZ.263	Published	False	AF	Vanderbilt TMC	
dc289471333309925e46ceb9bafafaf4	HBM279.SSXF.866	Published	False	AF	Vanderbilt TMC	
54ef9a03bc7abbedc60a261bf49e1119	HBM455.XGQZ.542	Published	False	AF	Vanderbilt TMC	
1dd9a68210ef57c390f90b06851877a4	HBM539.LXFQ.933	Published	False	AF	Vanderbilt TMC	
dbf8d98f22c3579d1dd3dfb9931cf714	HBM835.KPRS.372	Published	False	AF	Vanderbilt TMC	
9ba91ddddfb2be8f06fd11230da0bbb3	HBM653.KWZV.652	Published	False	AF	Vanderbilt TMC	
8b347e7307c4e76f0ce20700ac77d38d	HBM746.LMBD.255	Published	False	AF	Vanderbilt TMC	
4c04a73e87f0b5deb00d88d4cb20095d	HBM284.PMDZ.547	Published	False	AF	Vanderbilt TMC	
bf6ec5a47c32f43b6d01ea58fa4723ca	HBM788.QPJT.262	Published	False	AF	Vanderbilt TMC	
ac616d7b9149d279b29a5df3472486ac	HBM457.RCGR.399	Published	False	AF	Vanderbilt TMC	
584620d30b86098ece9b96edb407c786	HBM666.RKRD.836	Published	False	AF	Vanderbilt TMC	
7ede2efa49ae0dc50c9cb8afb276ebe4	HBM287.DWFS.254	Published	False	AF	Vanderbilt TMC	
8122e6bbb32d0561eade1136d320a561	HBM426.XXCX.729	Published	False	AF	Vanderbilt TMC	
a11fe9d14122d4254acfefc9bf9faae4	HBM592.JQRJ.946	Published	False	AF	Vanderbilt TMC	
38ba22b0a2bdace0d0dd7504cbe15aae	HBM632.MXJF.562	Published	False	AF	Vanderbilt TMC	
1accbd367bac01690a733c77460371a7	HBM372.RSXT.622	Published	False	AF	Vanderbilt TMC	
7aa0816fc26641fb86fe9a2e89a22625	HBM644.MDVT.295	Published	False	AF	Vanderbilt TMC	
379ec1e6f7f0633a62997136db2854a7	HBM974.JDVS.328	Published	False	AF	Vanderbilt TMC	
620e742ae8401461013804e8abf1a56a	HBM975.DJNJ.667	Published	True	ATACseq-bulk	Stanford TMC	
c2778cdd0a18e6f1ca755cbf65511aed	HBM733.SLXV.683	Published	True	ATACseq-bulk	Stanford TMC	
34d3a6eeb06ddc1681c788113e66d52d	HBM473.HNPK.434	Published	True	ATACseq-bulk	Stanford TMC	
4a69340c702774210d5452a6ae80f3c7	HBM782.XQRG.998	Published	True	ATACseq-bulk	Stanford TMC	
db0dc651c8b2a430a81b5c30d6fb6f7b	HBM726.DDNW.235	Published	True	ATACseq-bulk	Stanford TMC	
e7f28c44029ada6b1431354afeac61ff	HBM379.MLVH.522	Published	True	ATACseq-bulk	Stanford TMC	
4e1da648c2a1451edba33d991dc163ab	HBM563.PTWZ.467	Published	True	ATACseq-bulk	Stanford TMC	
bca3d31804ecc8be096d0b7691419335	HBM688.DRXP.369	Published	True	ATACseq-bulk	Stanford TMC	
2b953ab8e97583a74944238af28b55cc	HBM875.LBGV.674	Published	True	ATACseq-bulk	Stanford TMC	
