uuid	hubmap_id	status	is_protected	data_type	group_name	has_uuids	number_of_uuids
620e742ae8401461013804e8abf1a56a	HBM975.DJNJ.667	Published	True	ATACseq-bulk	Stanford TMC	True	3
c2778cdd0a18e6f1ca755cbf65511aed	HBM733.SLXV.683	Published	True	ATACseq-bulk	Stanford TMC	True	3
34d3a6eeb06ddc1681c788113e66d52d	HBM473.HNPK.434	Published	True	ATACseq-bulk	Stanford TMC	True	3
4a69340c702774210d5452a6ae80f3c7	HBM782.XQRG.998	Published	True	ATACseq-bulk	Stanford TMC	True	3
db0dc651c8b2a430a81b5c30d6fb6f7b	HBM726.DDNW.235	Published	True	ATACseq-bulk	Stanford TMC	True	3
e7f28c44029ada6b1431354afeac61ff	HBM379.MLVH.522	Published	True	ATACseq-bulk	Stanford TMC	True	3
4e1da648c2a1451edba33d991dc163ab	HBM563.PTWZ.467	Published	True	ATACseq-bulk	Stanford TMC	True	3
bca3d31804ecc8be096d0b7691419335	HBM688.DRXP.369	Published	True	ATACseq-bulk	Stanford TMC	True	3
2b953ab8e97583a74944238af28b55cc	HBM875.LBGV.674	Published	True	ATACseq-bulk	Stanford TMC	True	3
805f8a7aa537be9024685d065136e619	HBM638.SQBD.338	Published	True	ATACseq-bulk	Stanford TMC	True	3
3ce5e603c9f6187b2c8f16340924355d	HBM366.TWHT.638	Published	True	ATACseq-bulk	Stanford TMC	True	3
56cd9eb9f27564c34bfe4eb843d9b969	HBM723.SFNS.898	Published	True	ATACseq-bulk	Stanford TMC	True	3
ac1a2b21f3b25950bf340280a59b6ad4	HBM666.QBKB.629	Published	True	ATACseq-bulk	Stanford TMC	True	3
dd353ca9ffc1ea3a6252c474363c7486	HBM323.JGNJ.947	Published	True	ATACseq-bulk	Stanford TMC	True	3
2cab54a6f67dcab243e86053f83b3690	HBM283.XXQN.824	Published	True	ATACseq-bulk	Stanford TMC	True	3
392ef2593e8cfcc9b1431a2614de3dbf	HBM422.GKTR.735	Published	True	ATACseq-bulk	Stanford TMC	True	3
f84c8edc36a65f248c2649ebbe52ad35	HBM454.ZWSD.895	Published	True	bulk-RNA	Stanford TMC	True	3
2c77b1cdf33dbed3dbfb74e4b578300e	HBM756.GJDX.884	Published	True	bulk-RNA	Stanford TMC	True	3
311837bf483627cc967e40092a251096	HBM656.ZCCL.743	Published	True	bulk-RNA	Stanford TMC	True	3
2c2179ea741d3bbb47772172a316a2bf	HBM855.VBLX.337	Published	True	bulk-RNA	Stanford TMC	True	3
69e5acda3ceefb02ef4363be64958c53	HBM634.HGLT.739	Published	True	bulk-RNA	Stanford TMC	True	3
1b44f652bd13a713c9d1eb99b359a4fd	HBM946.HHKL.578	Published	True	bulk-RNA	Stanford TMC	True	3
829949a05892c319595ed28887039134	HBM954.PCBD.364	Published	True	bulk-RNA	Stanford TMC	True	3
6e9e4f61998006ee78c32af1596fa25a	HBM672.XGNL.299	Published	True	bulk-RNA	Stanford TMC	True	3
